Date,Open,Close,High,Low
2005-01-31,79.96,80.4,80.31,79.94
2005-02-01,80.31,80.47,80.29,79.8
2005-02-02,80.24,80.8,80.72,80.0
2005-02-03,80.74,80.86,80.49,80.22
2005-02-04,80.51,80.58,80.01,79.87
2005-02-07,80.12,80.82,80.57,79.81
2005-02-08,80.55,81.04,80.94,80.16
2005-02-09,80.95,81.48,81.38,80.6
2005-02-10,81.42,82.86,82.82,81.19
2005-02-11,82.84,83.16,83.14,82.5
2005-02-14,82.95,82.96,82.84,82.22
2005-02-15,82.85,82.89,82.24,82.0
2005-02-16,82.21,82.73,82.59,82.02
2005-02-17,82.57,83.22,83.15,82.51
2005-02-18,83.14,83.43,83.33,82.57
2005-02-21,83.43,83.55,83.31,83.06
2005-02-22,83.3,83.38,82.76,82.35
2005-02-23,82.72,83.04,82.5,82.37
2005-02-24,82.53,83.04,82.85,82.25
2005-02-25,82.87,83.0,82.81,82.2
2005-02-28,82.7,82.89,82.79,82.43
2005-03-01,82.82,82.93,81.97,81.71
2005-03-02,82.01,82.28,82.03,81.49
2005-03-03,82.02,82.46,82.42,81.82
2005-03-04,82.38,82.96,82.71,82.18
2005-03-07,82.75,83.41,83.32,82.54
2005-03-08,83.32,83.66,83.56,83.11
2005-03-09,83.6,83.61,82.36,82.22
2005-03-10,82.38,82.99,82.23,81.96
2005-03-11,82.23,82.63,82.33,81.94
2005-03-14,82.39,82.87,82.66,82.22
2005-03-15,82.69,82.77,82.63,82.35
2005-03-16,82.63,82.82,82.64,82.06
2005-03-17,82.67,83.0,82.83,82.41
2005-03-18,82.83,83.26,83.19,82.66
2005-03-21,83.17,83.21,82.6,82.48
2005-03-22,82.63,83.23,82.76,82.32
2005-03-23,82.75,82.87,81.75,81.52
2005-03-24,81.73,82.31,82.04,81.62
2005-03-25,82.07,82.32,82.03,81.95
2005-03-28,82.05,82.58,82.21,82.02
2005-03-29,82.25,83.11,82.93,82.16
2005-03-30,82.92,83.11,82.86,82.16
2005-03-31,82.9,82.98,82.84,82.5
