Date,Open,Close,High,Low
2024-04-01,1.07926,1.07990,1.07909,1.07953
2024-03-29,1.07889,1.08051,1.07677,1.07900
2024-03-28,1.08260,1.08270,1.07748,1.07890
2024-03-27,1.08319,1.08391,1.08104,1.08258
2024-03-26,1.08364,1.08643,1.08240,1.08316
2024-03-25,1.08074,1.08426,1.08019,1.08359
2024-03-22,1.08605,1.08681,1.08015,1.08050
2024-03-21,1.09206,1.09426,1.08551,1.08605
2024-03-20,1.08653,1.09230,1.08360,1.09211
2024-03-19,1.08728,1.08766,1.08345,1.08649
2024-03-18,1.08878,1.09061,1.08658,1.08721
2024-03-15,1.08853,1.08997,1.08726,1.08869
2024-03-14,1.09485,1.09550,1.08804,1.08847
2024-03-13,1.09258,1.09638,1.09199,1.09479
2024-03-12,1.09258,1.09438,1.09021,1.09255
2024-03-11,1.09393,1.09481,1.09140,1.09257
2024-03-08,1.09480,1.09813,1.09183,1.09381
2024-03-07,1.08980,1.09493,1.08677,1.09480
2024-03-06,1.08560,1.09153,1.08418,1.08986
2024-03-05,1.08560,1.08762,1.08401,1.08547
2024-03-04,1.08380,1.08670,1.08349,1.08555
2024-03-01,1.08046,1.08432,1.07980,1.08368
2024-02-29,1.08363,1.08560,1.07956,1.08053
2024-02-28,1.08437,1.08474,1.07965,1.08377
2024-02-27,1.08504,1.08660,1.08328,1.08437
2024-02-26,1.08319,1.08597,1.08124,1.08509
2024-02-23,1.08221,1.08396,1.08115,1.08188
2024-02-22,1.08182,1.08882,1.08025,1.08222
2024-02-21,1.08075,1.08245,1.07897,1.08185
2024-02-20,1.07770,1.08390,1.07614,1.08076
2024-02-19,1.07719,1.07894,1.07618,1.07785
2024-02-16,1.07718,1.07874,1.07318,1.07749
2024-02-15,1.07243,1.07848,1.07224,1.07720
2024-02-14,1.07087,1.07344,1.06945,1.07264
2024-02-13,1.07708,1.07985,1.07003,1.07079
2024-02-12,1.07778,1.08055,1.07556,1.07713
2024-02-09,1.07767,1.07951,1.07619,1.07821
2024-02-08,1.07704,1.07889,1.07414,1.07775
2024-02-07,1.07540,1.07840,1.07487,1.07717
2024-02-06,1.07418,1.07623,1.07224,1.07545
2024-02-05,1.07850,1.07861,1.07229,1.07419
2024-02-02,1.08714,1.08974,1.07802,1.07849
2024-02-01,1.08180,1.08750,1.07797,1.08713
2024-01-31,1.08446,1.08874,1.07947,1.08180
2024-01-30,1.08320,1.08573,1.08117,1.08447
2024-01-29,1.08430,1.08501,1.07956,1.08328
2024-01-26,1.08449,1.08854,1.08125,1.08512
2024-01-25,1.08843,1.09018,1.08214,1.08454
2024-01-24,1.08540,1.09323,1.08462,1.08843
2024-01-23,1.08820,1.09162,1.08214,1.08541
2024-01-22,1.08901,1.09095,1.08797,1.08824
2024-01-19,1.08757,1.08983,1.08654,1.08960
2024-01-18,1.08811,1.09068,1.08464,1.08762
2024-01-17,1.08740,1.08845,1.08443,1.08827
2024-01-16,1.09482,1.09510,1.08620,1.08751
2024-01-15,1.09530,1.09676,1.09330,1.09483
2024-01-12,1.09715,1.09870,1.09356,1.09483
2024-01-11,1.09722,1.09999,1.09300,1.09723
2024-01-10,1.09294,1.09731,1.09226,1.09724
2024-01-09,1.09501,1.09663,1.09101,1.09310
2024-01-08,1.09446,1.09788,1.09224,1.09495
2024-01-05,1.09440,1.09984,1.08767,1.09392
2024-01-04,1.09209,1.09722,1.09142,1.09447
2024-01-03,1.09414,1.09654,1.08928,1.09215
2024-01-02,1.10438,1.10454,1.09380,1.09416
2024-01-01,1.10400,1.10460,1.10340,1.10440
2023-12-29,1.10594,1.10842,1.10338,1.10374
2023-12-28,1.11044,1.11395,1.10549,1.10593
2023-12-27,1.10417,1.11226,1.10284,1.11044
2023-12-26,1.10110,1.10450,1.10073,1.10417
2023-12-25,1.10160,1.10202,1.09913,1.10080
2023-12-22,1.10109,1.10401,1.09935,1.10110
2023-12-21,1.09413,1.10126,1.09347,1.10109
2023-12-20,1.09787,1.09843,1.09296,1.09413
2023-12-19,1.09228,1.09873,1.09145,1.09805
2023-12-18,1.08970,1.09312,1.08914,1.09235
2023-12-15,1.09912,1.10038,1.08885,1.08922
2023-12-14,1.08728,1.10092,1.08700,1.09921
2023-12-13,1.07937,1.08966,1.07729,1.08742
2023-12-12,1.07631,1.08281,1.07570,1.07943
2023-12-11,1.07590,1.07790,1.07414,1.07640
2023-12-08,1.07918,1.08007,1.07230,1.07608
2023-12-07,1.07621,1.08175,1.07548,1.07936
2023-12-06,1.07965,1.08047,1.07583,1.07643
2023-12-05,1.08360,1.08474,1.07778,1.07965
2023-12-04,1.08765,1.08950,1.08039,1.08359
2023-12-01,1.08860,1.09127,1.08287,1.08818
2023-11-30,1.09675,1.09840,1.08790,1.08861
2023-11-29,1.09908,1.10171,1.09600,1.09692
2023-11-28,1.09518,1.10090,1.09342,1.09927
2023-11-27,1.09426,1.09594,1.09247,1.09531
2023-11-24,1.09031,1.09486,1.08947,1.09367
2023-11-23,1.08864,1.09304,1.08815,1.09035
2023-11-22,1.09100,1.09230,1.08522,1.08883
2023-11-21,1.09386,1.09651,1.08998,1.09110
2023-11-20,1.09095,1.09518,1.08970,1.09394
2023-11-17,1.08501,1.09148,1.08246,1.09138
2023-11-16,1.08453,1.08955,1.08299,1.08517
2023-11-15,1.08788,1.08861,1.08313,1.08468
2023-11-14,1.06975,1.08875,1.06927,1.08787
2023-11-13,1.06826,1.07061,1.06647,1.06987
2023-11-10,1.06671,1.06930,1.06559,1.06848
2023-11-09,1.07076,1.07254,1.06598,1.06671
2023-11-08,1.06993,1.07160,1.06590,1.07090
2023-11-07,1.07168,1.07221,1.06640,1.06998
2023-11-06,1.07243,1.07563,1.07158,1.07173
2023-11-03,1.06203,1.07467,1.06144,1.07300
2023-11-02,1.05670,1.06676,1.05670,1.06211
2023-11-01,1.05740,1.05806,1.05165,1.05670
2023-10-31,1.06145,1.06749,1.05571,1.05744
2023-10-30,1.05653,1.06251,1.05468,1.06147
2023-10-27,1.05596,1.05970,1.05350,1.05605
2023-10-26,1.05668,1.05691,1.05218,1.05603
2023-10-25,1.05911,1.06067,1.05634,1.05674
2023-10-24,1.06675,1.06943,1.05828,1.05900
2023-10-23,1.05928,1.06779,1.05711,1.06674
2023-10-20,1.05816,1.06036,1.05648,1.05930
2023-10-19,1.05354,1.06166,1.05278,1.05807
2023-10-18,1.05742,1.05941,1.05228,1.05358
2023-10-17,1.05589,1.05948,1.05326,1.05742
2023-10-16,1.05209,1.05628,1.05132,1.05585
2023-10-13,1.05300,1.05584,1.04952,1.05043
2023-10-12,1.06191,1.06397,1.05240,1.05297
2023-10-11,1.06046,1.06348,1.05799,1.06200
2023-10-10,1.05654,1.06198,1.05542,1.06050
2023-10-09,1.05545,1.05744,1.05192,1.05650
2023-10-06,1.05483,1.06000,1.04823,1.05857
2023-10-05,1.05062,1.05520,1.04998,1.05483
2023-10-04,1.04646,1.05321,1.04510,1.05060
2023-10-03,1.04786,1.04934,1.04480,1.04642
2023-10-02,1.05676,1.05919,1.04749,1.04790
2023-09-29,1.05639,1.06170,1.05577,1.05709
2023-09-28,1.05051,1.05790,1.04908,1.05635
2023-09-27,1.05698,1.05740,1.04878,1.05052
2023-09-26,1.05915,1.06090,1.05618,1.05698
2023-09-25,1.06445,1.06555,1.05753,1.05922
2023-09-22,1.06582,1.06717,1.06147,1.06432
2023-09-21,1.06635,1.06735,1.06165,1.06584
2023-09-20,1.06793,1.07370,1.06490,1.06633
2023-09-19,1.06914,1.07180,1.06720,1.06795
2023-09-18,1.06626,1.06988,1.06540,1.06918
2023-09-15,1.06421,1.06880,1.06328,1.06596
2023-09-14,1.07294,1.07521,1.06315,1.06420
2023-09-13,1.07589,1.07648,1.07109,1.07292
2023-09-12,1.07493,1.07692,1.07052,1.07590
2023-09-11,1.07147,1.07594,1.07064,1.07484
2023-09-08,1.06969,1.07439,1.06920,1.06990
2023-09-07,1.07239,1.07320,1.06860,1.06962
2023-09-06,1.07221,1.07489,1.07021,1.07225
2023-09-05,1.07943,1.07985,1.07062,1.07226
2023-09-04,1.07739,1.08090,1.07712,1.07938
2023-09-01,1.08414,1.08819,1.07706,1.07733
2023-08-31,1.09227,1.09394,1.08348,1.08415
2023-08-30,1.08781,1.09456,1.08549,1.09228
2023-08-29,1.08191,1.08920,1.07820,1.08785
2023-08-28,1.07957,1.08232,1.07930,1.08187
2023-08-25,1.08120,1.08418,1.07650,1.07930
2023-08-24,1.08618,1.08767,1.08030,1.08126
2023-08-23,1.08448,1.08715,1.08010,1.08619
2023-08-22,1.08953,1.09305,1.08328,1.08445
2023-08-21,1.08742,1.09137,1.08692,1.08943
2023-08-18,1.08673,1.08940,1.08447,1.08711
2023-08-17,1.08813,1.09182,1.08560,1.08672
2023-08-16,1.09024,1.09346,1.08713,1.08805
2023-08-15,1.09048,1.09525,1.08965,1.09027
2023-08-14,1.09475,1.09602,1.08745,1.09046
2023-08-11,1.09828,1.10050,1.09418,1.09436
2023-08-10,1.09761,1.10652,1.09660,1.09801
2023-08-09,1.09536,1.09954,1.09500,1.09759
2023-08-08,1.10031,1.10111,1.09280,1.09535
2023-08-07,1.10105,1.10139,1.09640,1.10029
2023-08-04,1.09472,1.10420,1.09340,1.10072
2023-08-03,1.09383,1.09629,1.09110,1.09483
2023-08-02,1.10178,1.10181,1.09170,1.09381
2023-08-01,1.09966,1.10195,1.09510,1.10181
2023-07-31,1.10180,1.10459,1.09920,1.09968
2023-07-28,1.09768,1.10475,1.09434,1.10147
2023-07-27,1.10867,1.11497,1.09640,1.09764
2023-07-26,1.10568,1.11068,1.10375,1.10866
2023-07-25,1.10625,1.10869,1.10205,1.10570
2023-07-24,1.11312,1.11470,1.10599,1.10627
2023-07-21,1.11348,1.11450,1.11076,1.11245
2023-07-20,1.11999,1.12291,1.11170,1.11339
2023-07-19,1.12274,1.12403,1.11742,1.11998
2023-07-18,1.12361,1.12758,1.12080,1.12274
2023-07-17,1.12281,1.12488,1.12028,1.12354
2023-07-14,1.12231,1.12449,1.12040,1.12264
2023-07-13,1.11283,1.12284,1.11272,1.12235
2023-07-12,1.10060,1.11403,1.10040,1.11282
2023-07-11,1.09996,1.10273,1.09760,1.10051
2023-07-10,1.09648,1.10014,1.09420,1.09995
2023-07-07,1.08885,1.09733,1.08668,1.09640
2023-07-06,1.08543,1.09006,1.08330,1.08880
2023-07-05,1.08793,1.09079,1.08500,1.08545
2023-07-04,1.09102,1.09163,1.08750,1.08791
2023-07-03,1.09076,1.09339,1.08712,1.09100
2023-06-30,1.08639,1.09318,1.08350,1.09074
2023-06-29,1.09129,1.09414,1.08599,1.08625
2023-06-28,1.09603,1.09627,1.08967,1.09125
2023-06-27,1.09056,1.09768,1.09020,1.09598
2023-06-26,1.08998,1.09201,1.08873,1.09057
2023-06-23,1.09548,1.09585,1.08443,1.08910
2023-06-22,1.09838,1.10122,1.09483,1.09554
2023-06-21,1.09170,1.09910,1.09040,1.09836
2023-06-20,1.09213,1.09462,1.08910,1.09164
2023-06-19,1.09385,1.09462,1.09050,1.09213
2023-06-16,1.09413,1.09707,1.09178,1.09401
2023-06-15,1.08310,1.09527,1.08020,1.09413
2023-06-14,1.07890,1.08640,1.07730,1.08311
2023-06-13,1.07568,1.08235,1.07557,1.07887
2023-06-12,1.07447,1.07901,1.07329,1.07565
2023-06-09,1.07812,1.07851,1.07420,1.07460
2023-06-08,1.06983,1.07871,1.06950,1.07817
2023-06-07,1.06943,1.07398,1.06670,1.06982
2023-06-06,1.07116,1.07329,1.06660,1.06934
2023-06-05,1.07059,1.07225,1.06730,1.07102
2023-06-02,1.07592,1.07790,1.07040,1.07060
2023-06-01,1.06856,1.07684,1.06610,1.07597
2023-05-31,1.07319,1.07360,1.06340,1.06856
2023-05-30,1.07088,1.07466,1.06710,1.07325
2023-05-29,1.07210,1.07435,1.07040,1.07088
2023-05-26,1.07278,1.07586,1.07000,1.07250
2023-05-25,1.07495,1.07567,1.07071,1.07277
2023-05-24,1.07728,1.08013,1.07470,1.07495
2023-05-23,1.08111,1.08204,1.07590,1.07723
2023-05-22,1.08061,1.08313,1.07940,1.08120
2023-05-19,1.07697,1.08287,1.07590,1.08019
2023-05-18,1.08389,1.08480,1.07610,1.07699
2023-05-17,1.08614,1.08740,1.08090,1.08390
2023-05-16,1.08745,1.09046,1.08540,1.08611
2023-05-15,1.08528,1.08908,1.08392,1.08740
2023-05-12,1.09160,1.09355,1.08468,1.08470
2023-05-11,1.09811,1.09981,1.08990,1.09152
2023-05-10,1.09534,1.10068,1.09400,1.09820
2023-05-09,1.10038,1.10042,1.09400,1.09537
2023-05-08,1.10209,1.10537,1.09980,1.10038
2023-05-05,1.10127,1.10478,1.09665,1.10174
2023-05-04,1.10609,1.10917,1.09860,1.10118
2023-05-03,1.10008,1.10916,1.09990,1.10606
2023-05-02,1.09744,1.10080,1.09410,1.10008
2023-05-01,1.10178,1.10355,1.09640,1.09750
2023-04-28,1.10235,1.10449,1.09610,1.10140
2023-04-27,1.10409,1.10635,1.09910,1.10250
2023-04-26,1.09729,1.10954,1.09670,1.10400
2023-04-25,1.10445,1.10671,1.09630,1.09738
2023-04-24,1.09861,1.10502,1.09650,1.10441
2023-04-21,1.09666,1.09938,1.09370,1.09880
2023-04-20,1.09560,1.09895,1.09320,1.09668
2023-04-19,1.09706,1.09840,1.09160,1.09549
2023-04-18,1.09250,1.09830,1.09210,1.09705
2023-04-17,1.09926,1.09998,1.09080,1.09253
2023-04-14,1.10459,1.10759,1.09710,1.09910
2023-04-13,1.09914,1.10677,1.09750,1.10447
2023-04-12,1.09106,1.10004,1.09093,1.09914
2023-04-11,1.08586,1.09280,1.08569,1.09095
2023-04-10,1.08995,1.09173,1.08300,1.08590
2023-04-07,1.09177,1.09240,1.08759,1.09014
2023-04-06,1.09058,1.09376,1.08830,1.09176
2023-04-05,1.09549,1.09696,1.08900,1.09057
2023-04-04,1.09011,1.09733,1.08810,1.09540
2023-04-03,1.08418,1.09166,1.07870,1.09006
2023-03-31,1.09042,1.09257,1.08350,1.08381
2023-03-30,1.08403,1.09263,1.08230,1.09046
2023-03-29,1.08399,1.08713,1.08170,1.08395
2023-03-28,1.07963,1.08485,1.07937,1.08399
2023-03-27,1.07645,1.08001,1.07430,1.07967
2023-03-24,1.08325,1.08385,1.07120,1.07588
2023-03-23,1.08590,1.09300,1.08230,1.08321
2023-03-22,1.07680,1.09125,1.07570,1.08580
2023-03-21,1.07192,1.07886,1.07020,1.07676
2023-03-20,1.06832,1.07309,1.06290,1.07190
2023-03-17,1.06121,1.06853,1.06075,1.06639
2023-03-16,1.05780,1.06356,1.05490,1.06125
2023-03-15,1.07317,1.07600,1.05150,1.05766
2023-03-14,1.07273,1.07496,1.06770,1.07313
2023-03-13,1.06938,1.07486,1.06490,1.07263
2023-03-10,1.05788,1.07007,1.05720,1.06387
2023-03-09,1.05430,1.05912,1.05377,1.05791
2023-03-08,1.05490,1.05738,1.05240,1.05430
2023-03-07,1.06791,1.06944,1.05440,1.05490
2023-03-06,1.06237,1.06943,1.06200,1.06791
2023-03-03,1.05963,1.06393,1.05870,1.06337
2023-03-02,1.06660,1.06730,1.05750,1.05966
2023-03-01,1.05743,1.06914,1.05640,1.06660
2023-02-28,1.06090,1.06451,1.05720,1.05748
2023-02-27,1.05451,1.06198,1.05310,1.06080
2023-02-24,1.05934,1.06142,1.05350,1.05437
2023-02-23,1.06031,1.06276,1.05760,1.05960
2023-02-22,1.06464,1.06638,1.05980,1.06034
2023-02-21,1.06850,1.06981,1.06360,1.06457
2023-02-20,1.06868,1.07046,1.06690,1.06841
2023-02-17,1.06719,1.06983,1.06110,1.06929
2023-02-16,1.06871,1.07223,1.06530,1.06725
2023-02-15,1.07361,1.07444,1.06590,1.06880
2023-02-14,1.07216,1.08044,1.07060,1.07366
2023-02-13,1.06807,1.07300,1.06540,1.07207
2023-02-10,1.07366,1.07527,1.06650,1.06754
2023-02-09,1.07099,1.07907,1.07065,1.07398
2023-02-08,1.07247,1.07607,1.07080,1.07099
2023-02-07,1.07251,1.07664,1.06670,1.07253
2023-02-06,1.07814,1.07990,1.07080,1.07252
2023-02-03,1.09086,1.09401,1.07910,1.07929
2023-02-02,1.09890,1.10327,1.08850,1.09092
2023-02-01,1.08610,1.10010,1.08500,1.09900
2023-01-31,1.08488,1.08750,1.08000,1.08626
2023-01-30,1.08644,1.09137,1.08370,1.08480
2023-01-27,1.08918,1.09002,1.08360,1.08649
2023-01-26,1.09150,1.09294,1.08490,1.08916
2023-01-25,1.08848,1.09237,1.08560,1.09154
2023-01-24,1.08710,1.08979,1.08330,1.08851
2023-01-23,1.08672,1.09267,1.08440,1.08715
2023-01-20,1.08310,1.08590,1.08010,1.08549
2023-01-19,1.07928,1.08400,1.07810,1.08308
2023-01-18,1.07872,1.08873,1.07650,1.07940
2023-01-17,1.08205,1.08699,1.07730,1.07877
2023-01-16,1.08333,1.08741,1.08000,1.08198
2023-01-13,1.08506,1.08680,1.07790,1.08302
2023-01-12,1.07566,1.08670,1.07292,1.08522
2023-01-11,1.07322,1.07775,1.07240,1.07562
2023-01-10,1.07280,1.07595,1.07100,1.07326
2023-01-09,1.06409,1.07606,1.06360,1.07292
2023-01-06,1.05200,1.06480,1.04816,1.06413
2023-01-05,1.06020,1.06314,1.05130,1.05200
2023-01-04,1.05461,1.06354,1.05390,1.06033
2023-01-03,1.06646,1.06836,1.05170,1.05460
2023-01-02,1.07031,1.07087,1.06489,1.06656
2022-12-30,1.06610,1.07131,1.06370,1.07025
2022-12-29,1.06100,1.06916,1.06078,1.06609
2022-12-28,1.06360,1.06745,1.06050,1.06110
2022-12-27,1.06360,1.06694,1.06100,1.06390
2022-12-26,1.06100,1.06364,1.05965,1.06332
2022-12-23,1.05928,1.06330,1.05850,1.06172
2022-12-22,1.06052,1.06594,1.05720,1.05965
2022-12-21,1.06231,1.06455,1.05890,1.06039
2022-12-20,1.06062,1.06586,1.05770,1.06232
2022-12-19,1.05880,1.06579,1.05740,1.06060
2022-12-16,1.06250,1.06631,1.05827,1.05839
2022-12-15,1.06812,1.07363,1.05910,1.06269
2022-12-14,1.06317,1.06952,1.06170,1.06815
2022-12-13,1.05355,1.06733,1.05260,1.06324
2022-12-12,1.05281,1.05802,1.05040,1.05367
2022-12-09,1.05542,1.05882,1.05018,1.05329
2022-12-08,1.05048,1.05649,1.04880,1.05540
2022-12-07,1.04660,1.05498,1.04410,1.05029
2022-12-06,1.04902,1.05329,1.04570,1.04650
2022-12-05,1.05300,1.05948,1.04780,1.04877
2022-12-02,1.05258,1.05450,1.04270,1.05325
2022-12-01,1.04041,1.05340,1.03906,1.05257
2022-11-30,1.03283,1.04288,1.02880,1.04041
2022-11-29,1.03385,1.03945,1.03174,1.03280
2022-11-28,1.03706,1.04969,1.03277,1.03388
2022-11-25,1.04070,1.04293,1.03522,1.03950
2022-11-24,1.03953,1.04485,1.03800,1.04087
2022-11-23,1.03028,1.04052,1.02946,1.03954
2022-11-22,1.02404,1.03082,1.02374,1.03030
2022-11-21,1.03230,1.03332,1.02206,1.02411
2022-11-18,1.03589,1.03960,1.03110,1.03235
2022-11-17,1.03936,1.04065,1.03027,1.03608
2022-11-16,1.03480,1.04385,1.03290,1.03942
2022-11-15,1.03259,1.04818,1.02780,1.03478
2022-11-14,1.03382,1.03586,1.02690,1.03265
2022-11-11,1.02076,1.03642,1.01610,1.03538
2022-11-10,1.00070,1.02219,0.99334,1.02080
2022-11-09,1.00708,1.00882,0.99908,1.00103
2022-11-08,1.00185,1.00963,0.99703,1.00728
2022-11-07,0.99055,1.00345,0.99013,1.00190
2022-11-04,0.97491,0.99665,0.97410,0.99581
2022-11-03,0.98199,0.98396,0.97280,0.97480
2022-11-02,0.98745,0.99760,0.98107,0.98146
2022-11-01,0.98818,0.99543,0.98508,0.98746
2022-10-31,0.99567,0.99658,0.98706,0.98814
