Date,Open,Close,High,Low
2005-02-01,1.3022,1.3063,1.3042,1.2997
2005-02-02,1.305,1.3093,1.3023,1.3006
2005-02-03,1.3039,1.3042,1.297,1.2937
2005-02-04,1.2964,1.3042,1.2872,1.2863
2005-02-07,1.2869,1.2869,1.2755,1.2728
2005-02-08,1.2774,1.2797,1.2762,1.273
2005-02-09,1.2791,1.2812,1.281,1.2735
2005-02-10,1.2878,1.2905,1.2876,1.2738
2005-02-11,1.2878,1.2897,1.2865,1.2841
2005-02-14,1.2961,1.299,1.2973,1.2853
2005-02-15,1.2961,1.3051,1.3023,1.2948
2005-02-16,1.3014,1.3063,1.303,1.2956
2005-02-17,1.3039,1.3088,1.3068,1.3011
2005-02-18,1.307,1.3083,1.3065,1.3009
2005-02-21,1.3059,1.3078,1.3063,1.3028
2005-02-22,1.3068,1.3262,1.3257,1.3051
2005-02-23,1.3257,1.3273,1.3208,1.3181
2005-02-24,1.3229,1.327,1.3193,1.3172
2005-02-25,1.32,1.3246,1.3244,1.3142
2005-02-28,1.3242,1.3278,1.3222,1.3216
2005-03-01,1.3183,1.3243,1.3183,1.3164
2005-03-02,1.3185,1.3191,1.3132,1.3084
2005-03-03,1.3134,1.3164,1.3106,1.3093
2005-03-04,1.3107,1.3258,1.3236,1.3087
2005-03-07,1.323,1.3247,1.3209,1.3176
2005-03-08,1.3343,1.3363,1.3341,1.3195
2005-03-09,1.3342,1.3423,1.3389,1.3328
2005-03-10,1.34,1.3456,1.3415,1.3367
2005-03-11,1.3424,1.3481,1.3453,1.339
2005-03-14,1.3464,1.3478,1.3365,1.3331
2005-03-15,1.3366,1.3411,1.3306,1.3293
2005-03-16,1.3313,1.3438,1.3416,1.3288
2005-03-17,1.341,1.3421,1.3375,1.3338
2005-03-18,1.3371,1.3386,1.3323,1.326
2005-03-21,1.3309,1.3316,1.3155,1.3137
2005-03-22,1.3177,1.3225,1.308,1.305
2005-03-23,1.3085,1.3088,1.2982,1.2955
2005-03-24,1.2976,1.3033,1.2937,1.2929
2005-03-25,1.2938,1.2969,1.2955,1.2925
2005-03-28,1.295,1.2962,1.2895,1.2852
2005-03-29,1.2876,1.2956,1.2921,1.2873
2005-03-30,1.2921,1.2984,1.2913,1.2907
2005-03-31,1.2931,1.3018,1.2962,1.2908
2005-04-01,1.2959,1.3051,1.2906,1.2868
2005-04-04,1.2881,1.2906,1.2848,1.2815
2005-04-05,1.2853,1.2877,1.2851,1.2796
2005-04-06,1.2864,1.2909,1.2869,1.2835
2005-04-07,1.2866,1.294,1.2848,1.2842
2005-04-08,1.2856,1.2942,1.292,1.2805
