Date,Open,Close,High,Low
2005-02-01,1.8821,1.8865,1.8837,1.8773
2005-02-02,1.884,1.8887,1.8864,1.8819
2005-02-03,1.8864,1.8911,1.8812,1.8765
2005-02-04,1.8812,1.8919,1.8746,1.8725
2005-02-07,1.8754,1.8758,1.8586,1.8545
2005-02-08,1.8584,1.8597,1.855,1.8508
2005-02-09,1.855,1.8643,1.8581,1.852
2005-02-10,1.8581,1.873,1.8684,1.8507
2005-02-11,1.8683,1.8708,1.8672,1.8622
2005-02-14,1.8684,1.8917,1.8884,1.866
2005-02-15,1.8885,1.8961,1.8952,1.8829
2005-02-16,1.8948,1.8969,1.8846,1.8748
2005-02-17,1.8858,1.8959,1.8947,1.8831
2005-02-18,1.8942,1.8971,1.8939,1.8888
2005-02-21,1.8946,1.8998,1.8967,1.8904
2005-02-22,1.8969,1.9136,1.9117,1.8948
2005-02-23,1.9119,1.9131,1.9077,1.9038
2005-02-24,1.9098,1.9141,1.9093,1.9011
2005-02-25,1.9106,1.9196,1.919,1.906
2005-02-28,1.9184,1.9261,1.921,1.916
2005-03-01,1.9228,1.9228,1.9214,1.9167
2005-03-02,1.9203,1.9221,1.9135,1.9074
2005-03-03,1.9131,1.9141,1.9066,1.9054
2005-03-04,1.9072,1.9272,1.9225,1.9051
2005-03-07,1.9235,1.925,1.9142,1.9109
2005-03-08,1.9135,1.9325,1.9286,1.9125
2005-03-09,1.9284,1.9319,1.9249,1.9197
2005-03-10,1.9261,1.9306,1.9226,1.9201
2005-03-11,1.9219,1.9293,1.9258,1.916
2005-03-14,1.9263,1.9276,1.9131,1.9096
2005-03-15,1.9138,1.9254,1.9126,1.9108
2005-03-16,1.9123,1.9292,1.9259,1.9107
2005-03-17,1.9251,1.9285,1.9247,1.9178
2005-03-18,1.9233,1.9256,1.9217,1.9119
2005-03-21,1.9199,1.9205,1.8962,1.894
2005-03-22,1.8981,1.9021,1.8857,1.8796
2005-03-23,1.8837,1.8885,1.8687,1.8656
2005-03-24,1.8668,1.8738,1.8689,1.8666
2005-03-25,1.8692,1.8724,1.8694,1.867
2005-03-28,1.8697,1.8704,1.8662,1.859
2005-03-29,1.8645,1.8767,1.8739,1.8644
2005-03-30,1.8752,1.8849,1.8782,1.8722
2005-03-31,1.8801,1.8918,1.89,1.8749
2005-04-01,1.8891,1.8972,1.8815,1.8756
2005-04-04,1.8791,1.8815,1.8761,1.8705
2005-04-05,1.8756,1.8817,1.8795,1.8714
2005-04-06,1.8806,1.8847,1.881,1.874
2005-04-07,1.8797,1.8855,1.8705,1.8678
2005-04-08,1.8696,1.8857,1.8843,1.8667
2005-04-11,1.8845,1.8933,1.8904,1.8813
2005-04-12,1.8904,1.8976,1.8917,1.8825
2005-04-13,1.8917,1.8957,1.8943,1.8868
2005-04-14,1.8935,1.8948,1.8814,1.8755
2005-04-15,1.8797,1.8949,1.8931,1.8767
2005-04-18,1.8935,1.9057,1.9039,1.888
2005-04-19,1.9027,1.9209,1.9172,1.8997
2005-04-20,1.9192,1.9217,1.9193,1.9091
2005-04-21,1.9198,1.9215,1.9073,1.906
2005-04-22,1.9091,1.9169,1.9142,1.9053
2005-04-25,1.9149,1.9156,1.911,1.9074
2005-04-26,1.9108,1.9133,1.9054,1.9017
2005-04-27,1.9056,1.9093,1.9056,1.8987
2005-04-28,1.9057,1.9107,1.9071,1.9011
2005-04-29,1.9066,1.9162,1.9077,1.9051
2005-05-02,1.9061,1.9077,1.8947,1.8922
