Date,Open,Close,High,Low
2024-04-01,1.35221,1.35245,1.35100,1.35185
2024-03-29,1.35379,1.35615,1.35270,1.35370
2024-03-28,1.35667,1.36137,1.35200,1.35375
2024-03-27,1.35823,1.36081,1.35600,1.35650
2024-03-26,1.35843,1.35906,1.35480,1.35824
2024-03-25,1.36002,1.36140,1.35660,1.35860
2024-03-22,1.35260,1.36140,1.35140,1.36060
2024-03-21,1.34910,1.35416,1.34510,1.35261
2024-03-20,1.35620,1.36050,1.34770,1.34945
2024-03-19,1.35322,1.36133,1.35290,1.35617
2024-03-18,1.35364,1.35515,1.35160,1.35330
2024-03-15,1.35304,1.35517,1.35050,1.35410
2024-03-14,1.34692,1.35410,1.34550,1.35289
2024-03-13,1.34897,1.34983,1.34540,1.34692
2024-03-12,1.34829,1.35254,1.34620,1.34880
2024-03-11,1.34817,1.35096,1.34689,1.34829
2024-03-08,1.34543,1.34980,1.34194,1.34780
2024-03-07,1.35103,1.35255,1.34500,1.34580
2024-03-06,1.35918,1.35998,1.34984,1.35133
2024-03-05,1.35720,1.36050,1.35510,1.35913
2024-03-04,1.35510,1.35838,1.35410,1.35726
2024-03-01,1.35775,1.36015,1.35400,1.35530
2024-02-29,1.35766,1.35973,1.35360,1.35774
2024-02-28,1.35271,1.36060,1.35200,1.35766
2024-02-27,1.35033,1.35392,1.34800,1.35272
2024-02-26,1.34931,1.35287,1.34910,1.35047
2024-02-23,1.34803,1.35173,1.34570,1.35040
2024-02-22,1.35017,1.35075,1.34360,1.34811
2024-02-21,1.35221,1.35361,1.34890,1.35051
2024-02-20,1.34860,1.35296,1.34700,1.35180
2024-02-19,1.34800,1.34964,1.34630,1.34878
2024-02-16,1.34631,1.35075,1.34560,1.34820
2024-02-15,1.35390,1.35520,1.34590,1.34638
2024-02-14,1.35630,1.35720,1.35260,1.35415
2024-02-13,1.34499,1.35860,1.34333,1.35632
2024-02-12,1.34570,1.34750,1.34250,1.34497
2024-02-09,1.34563,1.34815,1.34090,1.34570
2024-02-08,1.34624,1.34930,1.34440,1.34570
2024-02-07,1.34915,1.34930,1.34500,1.34580
2024-02-06,1.35395,1.35440,1.34720,1.34916
2024-02-05,1.34590,1.35438,1.34571,1.35396
2024-02-02,1.33849,1.34754,1.33610,1.34580
2024-02-01,1.34337,1.34643,1.33630,1.33847
2024-01-31,1.33954,1.34461,1.33540,1.34336
2024-01-30,1.34127,1.34464,1.33910,1.33960
2024-01-29,1.34550,1.34651,1.34092,1.34135
2024-01-26,1.34741,1.34830,1.34110,1.34470
2024-01-25,1.35219,1.35345,1.34640,1.34733
2024-01-24,1.34596,1.35282,1.34250,1.35226
2024-01-23,1.34783,1.34920,1.34480,1.34599
2024-01-22,1.34270,1.34824,1.34144,1.34740
2024-01-19,1.34854,1.35020,1.34220,1.34260
2024-01-18,1.35038,1.35280,1.34750,1.34861
2024-01-17,1.34918,1.35417,1.34760,1.35043
2024-01-16,1.34240,1.35020,1.34190,1.34943
2024-01-15,1.34060,1.34481,1.33780,1.34267
2024-01-12,1.33930,1.34116,1.33390,1.34070
2024-01-11,1.33794,1.34429,1.33470,1.33943
2024-01-10,1.33885,1.33948,1.33610,1.33801
2024-01-09,1.33468,1.34144,1.33360,1.33894
2024-01-08,1.33440,1.34047,1.33400,1.33460
2024-01-05,1.33450,1.33989,1.32830,1.33600
2024-01-04,1.33508,1.33659,1.33120,1.33494
2024-01-03,1.33203,1.33716,1.33130,1.33519
2024-01-02,1.32340,1.33340,1.32250,1.33160
2024-01-01,1.32450,1.32510,1.32290,1.32360
2023-12-29,1.32277,1.32651,1.31740,1.32460
2023-12-28,1.32054,1.32351,1.31770,1.32250
2023-12-27,1.31928,1.32193,1.31720,1.32070
2023-12-26,1.32543,1.32620,1.31900,1.31930
2023-12-25,1.32630,1.32910,1.32470,1.32470
2023-12-22,1.32802,1.32930,1.32140,1.32637
2023-12-21,1.33688,1.33710,1.32710,1.32800
2023-12-20,1.33303,1.33704,1.33070,1.33688
2023-12-19,1.33973,1.34002,1.33280,1.33318
2023-12-18,1.33700,1.34091,1.33493,1.33984
2023-12-15,1.34048,1.34147,1.33450,1.33767
2023-12-14,1.35175,1.35190,1.33890,1.34059
2023-12-13,1.35887,1.36081,1.34900,1.35140
2023-12-12,1.35731,1.36183,1.35440,1.35870
2023-12-11,1.35840,1.36045,1.35450,1.35725
2023-12-08,1.35969,1.36095,1.35460,1.35780
2023-12-07,1.35931,1.36193,1.35790,1.35979
2023-12-06,1.35908,1.35962,1.35450,1.35926
2023-12-05,1.35352,1.35941,1.35290,1.35915
2023-12-04,1.35030,1.35620,1.34750,1.35359
2023-12-01,1.35590,1.35725,1.34820,1.34910
2023-11-30,1.35875,1.36265,1.35470,1.35609
2023-11-29,1.35700,1.36149,1.35370,1.35840
2023-11-28,1.36120,1.36200,1.35550,1.35733
2023-11-27,1.36340,1.36610,1.36090,1.36159
2023-11-24,1.36955,1.37115,1.35900,1.36340
2023-11-23,1.36855,1.37108,1.36460,1.36957
2023-11-22,1.37010,1.37652,1.36810,1.36866
2023-11-21,1.37237,1.37310,1.36760,1.37002
2023-11-20,1.37140,1.37492,1.36860,1.37237
2023-11-17,1.37530,1.37708,1.37040,1.37180
2023-11-16,1.36812,1.37767,1.36740,1.37541
2023-11-15,1.36900,1.37097,1.36500,1.36817
2023-11-14,1.38038,1.38432,1.36800,1.36919
2023-11-13,1.37971,1.38316,1.37730,1.38035
2023-11-10,1.38052,1.38545,1.37870,1.37970
2023-11-09,1.37906,1.38160,1.37420,1.38030
2023-11-08,1.37653,1.38143,1.37500,1.37924
2023-11-07,1.36991,1.37824,1.36851,1.37661
2023-11-06,1.36579,1.37026,1.36250,1.36950
2023-11-03,1.37370,1.37601,1.36490,1.36590
2023-11-02,1.38505,1.38540,1.37320,1.37395
2023-11-01,1.38716,1.38989,1.38370,1.38515
2023-10-31,1.38219,1.38922,1.38090,1.38716
2023-10-30,1.38660,1.38730,1.38100,1.38230
2023-10-27,1.38255,1.38803,1.37920,1.38701
2023-10-26,1.37956,1.38440,1.37850,1.38252
2023-10-25,1.37395,1.38098,1.37260,1.37940
2023-10-24,1.36889,1.37545,1.36560,1.37396
2023-10-23,1.37052,1.37363,1.36630,1.36888
2023-10-20,1.37140,1.37340,1.36660,1.37088
2023-10-19,1.37110,1.37410,1.36760,1.37145
2023-10-18,1.36455,1.37163,1.36130,1.37111
2023-10-17,1.36055,1.37028,1.36030,1.36450
2023-10-16,1.36492,1.36570,1.36020,1.36051
2023-10-13,1.36898,1.36920,1.36330,1.36550
2023-10-12,1.35914,1.37004,1.35740,1.36870
