Date,Open,Close,High,Low
2005-01-31,1.2388,1.2447,1.2395,1.2358
2005-02-01,1.2407,1.2437,1.236,1.2344
2005-02-02,1.2367,1.2416,1.238,1.2303
2005-02-03,1.2374,1.246,1.2404,1.2371
2005-02-04,1.2417,1.2502,1.2493,1.2367
2005-02-07,1.2487,1.2582,1.2553,1.2481
2005-02-08,1.2553,1.2574,1.2458,1.2446
2005-02-09,1.2475,1.2523,1.2473,1.2457
2005-02-10,1.2495,1.2559,1.2424,1.2381
2005-02-11,1.2404,1.2436,1.2367,1.2352
2005-02-14,1.2367,1.2387,1.2323,1.2285
2005-02-15,1.2344,1.2374,1.2302,1.228
2005-02-16,1.231,1.2452,1.2369,1.2289
2005-02-17,1.2364,1.2383,1.2295,1.2256
2005-02-18,1.2292,1.2336,1.231,1.2268
2005-02-21,1.2316,1.236,1.2328,1.2274
2005-02-22,1.234,1.2352,1.2249,1.223
2005-02-23,1.2245,1.2467,1.2441,1.2243
2005-02-24,1.2377,1.2498,1.2407,1.2367
2005-02-25,1.2407,1.2453,1.2376,1.2373
2005-02-28,1.2379,1.2393,1.2338,1.2271
2005-03-01,1.2334,1.2449,1.2407,1.2322
2005-03-02,1.241,1.2462,1.239,1.2372
2005-03-03,1.2395,1.2494,1.2438,1.2372
2005-03-04,1.2429,1.2451,1.2313,1.2286
2005-03-07,1.231,1.2351,1.2291,1.2271
2005-03-08,1.2299,1.2301,1.2125,1.2119
2005-03-09,1.2132,1.2141,1.2069,1.1993
2005-03-10,1.203,1.2069,1.2045,1.1991
2005-03-11,1.2036,1.2114,1.2057,1.2015
2005-03-14,1.203,1.2099,1.2074,1.2028
2005-03-15,1.2059,1.2088,1.2067,1.1973
2005-03-16,1.2059,1.2079,1.2046,1.1993
2005-03-17,1.2038,1.2093,1.201,1.1977
2005-03-18,1.2022,1.2078,1.2022,1.1993
2005-03-21,1.2033,1.2139,1.2111,1.2018
2005-03-22,1.2102,1.2126,1.2086,1.1979
2005-03-23,1.2083,1.2181,1.2155,1.2071
2005-03-24,1.2156,1.2198,1.2141,1.2118
2005-03-25,1.2153,1.2189,1.2178,1.2127
