Date,Open,Close,High,Low
2024-04-01,0.90192,0.90210,0.90127,0.90165
2024-03-29,0.90195,0.90280,0.89972,0.90100
2024-03-28,0.90372,0.90647,0.89993,0.90198
2024-03-27,0.90346,0.90715,0.90280,0.90377
2024-03-26,0.89917,0.90433,0.89881,0.90360
2024-03-25,0.89677,0.89955,0.89645,0.89917
2024-03-22,0.89733,0.90203,0.89651,0.89670
2024-03-21,0.88666,0.89940,0.88389,0.89734
2024-03-20,0.88768,0.89190,0.88548,0.88668
2024-03-19,0.88744,0.88985,0.88665,0.88768
2024-03-18,0.88260,0.88846,0.88212,0.88695
2024-03-15,0.88341,0.88530,0.88188,0.88320
2024-03-14,0.87867,0.88410,0.87815,0.88341
2024-03-13,0.87711,0.87895,0.87658,0.87862
2024-03-12,0.87741,0.87950,0.87467,0.87730
2024-03-11,0.87685,0.87948,0.87545,0.87742
2024-03-08,0.87755,0.87824,0.87293,0.87640
2024-03-07,0.88189,0.88246,0.87723,0.87769
2024-03-06,0.88330,0.88558,0.88039,0.88198
2024-03-05,0.88476,0.88663,0.88250,0.88329
2024-03-04,0.88387,0.88641,0.88052,0.88488
2024-03-01,0.88435,0.88926,0.88250,0.88292
2024-02-29,0.87869,0.88470,0.87789,0.88447
2024-02-28,0.87849,0.88156,0.87776,0.87882
2024-02-27,0.87992,0.88106,0.87841,0.87860
2024-02-26,0.87930,0.88221,0.87875,0.87994
2024-02-23,0.87978,0.88195,0.87808,0.88054
2024-02-22,0.87948,0.88212,0.87418,0.88010
2024-02-21,0.88174,0.88204,0.87878,0.87963
2024-02-20,0.88199,0.88378,0.87852,0.88184
2024-02-19,0.88080,0.88280,0.87960,0.88193
2024-02-16,0.87982,0.88392,0.87889,0.88025
2024-02-15,0.88565,0.88588,0.87825,0.87981
2024-02-14,0.88709,0.88857,0.88469,0.88581
2024-02-13,0.87552,0.88810,0.87422,0.88691
2024-02-12,0.87440,0.87730,0.87262,0.87559
2024-02-09,0.87353,0.87621,0.87258,0.87460
2024-02-08,0.87427,0.87608,0.87238,0.87367
2024-02-07,0.86980,0.87535,0.86859,0.87423
2024-02-06,0.87053,0.87411,0.86897,0.86980
2024-02-05,0.86649,0.87186,0.86431,0.87068
2024-02-02,0.85779,0.86806,0.85528,0.86669
2024-02-01,0.86123,0.86494,0.85706,0.85779
2024-01-31,0.86162,0.86435,0.85504,0.86134
2024-01-30,0.86079,0.86430,0.86046,0.86170
2024-01-29,0.86346,0.86523,0.86064,0.86119
2024-01-26,0.86629,0.86851,0.86157,0.86364
2024-01-25,0.86285,0.86847,0.86199,0.86703
2024-01-24,0.87018,0.87040,0.86061,0.86285
2024-01-23,0.86889,0.87282,0.86496,0.87010
2024-01-22,0.86786,0.87005,0.86655,0.86894
2024-01-19,0.86793,0.87044,0.86715,0.86764
2024-01-18,0.86423,0.86940,0.86327,0.86802
2024-01-17,0.86138,0.86852,0.86015,0.86435
2024-01-16,0.85555,0.86195,0.85458,0.86154
2024-01-15,0.85179,0.85621,0.85105,0.85545
2024-01-12,0.85184,0.85508,0.84880,0.85171
2024-01-11,0.85068,0.85662,0.84850,0.85180
2024-01-10,0.85214,0.85354,0.85064,0.85080
2024-01-09,0.84787,0.85320,0.84639,0.85226
2024-01-08,0.84952,0.85210,0.84599,0.84793
2024-01-05,0.85018,0.85771,0.84548,0.84945
2024-01-04,0.84903,0.85288,0.84768,0.85020
2024-01-03,0.85024,0.85543,0.84861,0.84899
2024-01-02,0.83963,0.85069,0.83859,0.85008
2024-01-01,0.83990,0.84070,0.83950,0.83960
2023-12-29,0.84478,0.84516,0.83560,0.84109
2023-12-28,0.84263,0.84511,0.83322,0.84478
2023-12-27,0.85354,0.85490,0.84083,0.84276
