Date,Open,Close,High,Low
2005-01-31,1.1869,1.1943,1.1885,1.1849
2005-02-01,1.1893,1.1956,1.1905,1.1868
2005-02-02,1.1898,1.1963,1.1927,1.1851
2005-02-03,1.1914,1.2049,1.2015,1.1914
2005-02-04,1.2022,1.2116,1.2113,1.1955
2005-02-07,1.2115,1.2263,1.2242,1.2108
2005-02-08,1.2216,1.2253,1.2214,1.2178
2005-02-09,1.2209,1.2237,1.2163,1.2144
2005-02-10,1.2177,1.2243,1.2084,1.2035
2005-02-11,1.207,1.2123,1.2101,1.2057
2005-02-14,1.21,1.2101,1.1976,1.1957
2005-02-15,1.1985,1.2,1.1898,1.1871
2005-02-16,1.19,1.1947,1.1866,1.1828
2005-02-17,1.1862,1.1894,1.1842,1.1793
2005-02-18,1.1828,1.1897,1.1828,1.1815
2005-02-21,1.1829,1.1863,1.182,1.1799
2005-02-22,1.182,1.1842,1.1582,1.1574
2005-02-23,1.1579,1.1668,1.1635,1.1567
2005-02-24,1.1618,1.172,1.1691,1.1589
2005-02-25,1.1684,1.1741,1.1613,1.1608
2005-02-28,1.1619,1.1634,1.1626,1.1571
2005-03-01,1.1613,1.1686,1.1648,1.1602
2005-03-02,1.1653,1.1778,1.1735,1.1633
2005-03-03,1.1738,1.1827,1.1811,1.1725
2005-03-04,1.1806,1.1844,1.1686,1.166
2005-03-07,1.1687,1.178,1.1748,1.1678
2005-03-08,1.176,1.1769,1.1613,1.158
2005-03-09,1.1614,1.1647,1.1586,1.155
2005-03-10,1.1571,1.1608,1.1534,1.1511
2005-03-11,1.1532,1.1567,1.1501,1.1485
2005-03-14,1.1495,1.1639,1.1594,1.1474
2005-03-15,1.1596,1.1672,1.1647,1.1556
2005-03-16,1.1642,1.1665,1.1521,1.1499
2005-03-17,1.1531,1.1597,1.1565,1.1511
2005-03-18,1.157,1.1687,1.1634,1.1554
2005-03-21,1.1641,1.1809,1.1785,1.1638
2005-03-22,1.1774,1.1921,1.1878,1.1743
2005-03-23,1.1885,1.1991,1.1959,1.1874
2005-03-24,1.197,1.2018,1.2013,1.1913
2005-03-25,1.2009,1.2037,1.1996,1.1972
2005-03-28,1.1998,1.2085,1.2037,1.1977
2005-03-29,1.2049,1.2059,1.2013,1.1973
2005-03-30,1.2019,1.2019,1.2,1.1921
2005-03-31,1.198,1.2006,1.196,1.1889
2005-04-01,1.1961,1.2079,1.2031,1.1898
2005-04-04,1.205,1.2127,1.2088,1.2023
2005-04-05,1.2088,1.2146,1.2069,1.2037
2005-04-06,1.2053,1.2086,1.2054,1.2006
2005-04-07,1.2052,1.2082,1.2073,1.1972
2005-04-08,1.2069,1.2116,1.1983,1.196
2005-04-11,1.1975,1.1999,1.1935,1.1895
2005-04-12,1.1935,1.2045,1.1992,1.1898
2005-04-13,1.1988,1.2074,1.2006,1.1943
2005-04-14,1.2001,1.2196,1.2125,1.1986
2005-04-15,1.2146,1.2168,1.2002,1.198
2005-04-18,1.2,1.2168,1.1868,1.1846
2005-04-19,1.1881,1.1908,1.1813,1.179
2005-04-20,1.1793,1.1892,1.177,1.1759
2005-04-21,1.1771,1.1856,1.1825,1.1736
2005-04-22,1.1827,1.1861,1.1813,1.1776
2005-04-25,1.1804,1.192,1.1883,1.1797
2005-04-26,1.1875,1.1913,1.1859,1.1851
2005-04-27,1.1876,1.1964,1.1909,1.1852
2005-04-28,1.1917,1.196,1.1924,1.1883
2005-04-29,1.1927,1.1978,1.1945,1.1836
2005-05-02,1.1961,1.2013,1.1985,1.1945
2005-05-03,1.1972,1.2016,1.1985,1.194
2005-05-04,1.1964,1.199,1.191,1.1872
2005-05-05,1.1918,1.1978,1.1932,1.1887
2005-05-06,1.1935,1.2085,1.2066,1.1923
2005-05-09,1.2069,1.2094,1.2035,1.2025
2005-05-10,1.2055,1.2071,1.2013,1.1991
2005-05-11,1.2013,1.2098,1.2057,1.1957
2005-05-12,1.2056,1.2189,1.2172,1.2037
2005-05-13,1.2143,1.2252,1.2239,1.214
2005-05-16,1.225,1.229,1.2226,1.2205
2005-05-17,1.222,1.2272,1.2244,1.219
2005-05-18,1.2261,1.2272,1.2177,1.2159
2005-05-19,1.2178,1.2258,1.2218,1.2139
2005-05-20,1.222,1.236,1.2332,1.2205
2005-05-23,1.2346,1.2351,1.2315,1.2277
2005-05-24,1.2301,1.2328,1.2294,1.2241
2005-05-25,1.2301,1.2317,1.2267,1.2245
2005-05-26,1.2262,1.2383,1.2356,1.2254
2005-05-27,1.2361,1.2372,1.231,1.2293
2005-05-30,1.2331,1.2395,1.2383,1.231
2005-05-31,1.2386,1.2496,1.2474,1.237
2005-06-01,1.2481,1.2597,1.2545,1.2449
2005-06-02,1.2553,1.2578,1.2508,1.247
2005-06-03,1.2508,1.2561,1.2529,1.2451
2005-06-06,1.2525,1.254,1.2489,1.246
2005-06-07,1.2487,1.2514,1.2455,1.2426
2005-06-08,1.2454,1.2578,1.2542,1.2407
2005-06-09,1.2553,1.2596,1.2541,1.2511
2005-06-10,1.255,1.2701,1.2671,1.2515
2005-06-13,1.2682,1.2785,1.2705,1.2671
2005-06-14,1.2705,1.279,1.2777,1.2664
2005-06-15,1.2774,1.2791,1.2695,1.2684
2005-06-16,1.2713,1.2771,1.272,1.2653
2005-06-17,1.2722,1.2738,1.2569,1.2563
2005-06-20,1.2618,1.2738,1.2702,1.2569
2005-06-21,1.2715,1.2783,1.2657,1.2645
2005-06-22,1.2657,1.2747,1.2712,1.2618
2005-06-23,1.2717,1.2811,1.2795,1.2692
2005-06-24,1.2788,1.2843,1.2753,1.2724
2005-06-27,1.273,1.2753,1.2673,1.2654
2005-06-28,1.2682,1.2817,1.2795,1.2665
2005-06-29,1.2811,1.2878,1.282,1.2767
