Date,Open,Close,High,Low
2005-02-01,103.66,104.08,103.61,103.47
2005-02-02,103.57,104.08,103.74,103.31
2005-02-03,103.75,104.71,104.57,103.52
2005-02-04,104.58,104.62,104.05,103.5
2005-02-07,104.2,105.05,104.79,104.03
2005-02-08,104.76,105.94,105.58,104.73
2005-02-09,105.61,105.96,105.73,105.3
2005-02-10,105.76,106.86,105.75,105.34
2005-02-11,105.76,105.93,105.78,105.45
2005-02-14,105.7,105.71,105.15,104.6
2005-02-15,105.15,105.36,104.43,104.25
2005-02-16,104.41,105.72,105.38,104.37
2005-02-17,105.26,105.8,105.51,105.11
2005-02-18,105.54,105.87,105.61,105.12
2005-02-21,105.65,105.8,105.55,105.37
2005-02-22,105.51,105.58,104.01,103.77
2005-02-23,104.08,105.11,104.77,103.88
2005-02-24,104.75,105.61,105.36,104.56
2005-02-25,105.37,105.58,105.18,104.98
2005-02-28,105.19,105.3,104.62,104.05
2005-03-01,104.49,104.78,104.34,104.11
2005-03-02,104.32,105.15,104.73,104.25
2005-03-03,104.74,105.38,105.26,104.62
2005-03-04,105.24,105.59,104.76,104.3
2005-03-07,104.67,105.36,105.15,104.49
2005-03-08,105.2,105.23,104.69,104.32
2005-03-09,104.7,104.76,103.95,103.62
2005-03-10,103.85,104.33,104.1,103.67
2005-03-11,104.08,104.28,103.99,103.69
2005-03-14,103.9,105.19,104.82,103.7
2005-03-15,104.93,105.02,104.53,104.12
2005-03-16,104.49,104.69,104.13,103.86
2005-03-17,104.16,104.87,104.5,104.02
2005-03-18,104.58,105.05,104.72,104.45
2005-03-21,104.72,105.49,105.18,104.64
2005-03-22,105.1,105.73,105.59,104.81
2005-03-23,105.45,106.18,105.94,105.23
2005-03-24,106.02,106.57,106.3,105.87
2005-03-25,106.38,106.5,106.37,106.23
2005-03-28,106.34,107.37,107.14,106.3
2005-03-29,107.17,107.62,107.53,106.9
2005-03-30,107.45,107.69,107.53,106.9
2005-03-31,107.56,107.58,107.11,106.61
2005-04-01,107.16,107.79,107.51,106.74
2005-04-04,107.63,108.42,108.26,107.51
2005-04-05,108.25,108.89,108.25,108.05
2005-04-06,108.08,108.78,108.61,107.83
2005-04-07,108.59,108.79,108.62,108.06
2005-04-08,108.61,108.87,108.16,108.13
2005-04-11,108.27,108.52,107.82,107.6
2005-04-12,107.82,108.47,107.7,107.47
2005-04-13,107.72,107.85,107.31,107.1
2005-04-14,107.37,108.41,108.11,107.23
2005-04-15,108.12,108.55,107.71,107.43
2005-04-18,107.6,108.55,107.34,107.22
2005-04-19,107.48,107.59,106.88,106.86
2005-04-20,106.73,107.53,106.89,106.56
2005-04-21,106.76,107.43,106.94,106.66
2005-04-22,106.84,106.97,106.02,105.72
2005-04-25,105.94,106.05,105.63,105.24
2005-04-26,105.61,106.17,106.06,105.51
2005-04-27,105.96,106.39,105.69,105.66
2005-04-28,105.86,106.29,106.13,105.49
2005-04-29,106.01,106.13,104.69,104.57
2005-05-02,105.03,105.42,105.11,104.69
2005-05-03,104.97,105.35,104.94,104.83
2005-05-04,104.9,105.02,104.51,104.15
2005-05-05,104.46,104.68,104.49,104.19
2005-05-06,104.49,105.11,105.01,104.42
2005-05-09,105.11,105.68,105.64,105.01
2005-05-10,105.62,105.95,105.57,105.34
2005-05-11,105.58,105.94,105.81,104.89
2005-05-12,105.76,106.93,106.79,105.67
2005-05-13,106.75,107.43,107.31,106.64
2005-05-16,107.28,107.78,106.92,106.67
2005-05-17,106.82,107.55,107.4,106.53
2005-05-18,107.53,107.78,107.03,106.71
2005-05-19,106.79,107.68,107.63,106.79
2005-05-20,107.63,108.29,108.15,107.29
2005-05-23,108.19,108.3,107.66,107.5
2005-05-24,107.6,107.8,107.63,107.19
2005-05-25,107.6,107.88,107.6,107.23
2005-05-26,107.69,108.27,107.92,107.57
2005-05-27,107.88,108.09,108.01,107.69
2005-05-30,108.02,108.16,107.96,107.71
2005-05-31,107.94,108.57,108.45,107.66
2005-06-01,108.52,108.86,108.57,108.1
2005-06-02,108.72,108.79,108.21,108.05
2005-06-03,108.24,108.3,107.57,107.47
2005-06-06,107.74,107.85,106.88,106.68
2005-06-07,106.88,107.03,106.6,106.47
2005-06-08,106.54,107.39,107.2,106.49
2005-06-09,107.35,107.77,107.41,107.05
2005-06-10,107.48,108.69,108.65,107.28
2005-06-13,108.63,109.68,109.52,108.4
2005-06-14,109.5,109.61,109.39,109.04
2005-06-15,109.46,109.7,109.2,109.11
2005-06-16,109.21,109.39,108.89,108.62
2005-06-17,108.95,109.08,108.58,108.44
2005-06-20,108.8,109.6,109.32,108.58
2005-06-21,109.36,109.51,108.28,108.13
2005-06-22,108.24,109.14,108.81,108.13
2005-06-23,108.8,108.98,108.93,108.38
2005-06-24,108.86,109.4,109.02,108.83
